name,model_type,use_position,use_velocity,use_acceleration,use_intent,final_val_loss,min_val_loss,final_train_loss,num_features
base_pos,base,True,False,False,False,3.2154252529144287,3.2154252529144287,3.82842755317688,2
base_vel,base,False,True,False,False,2.803929567337036,2.803929567337036,3.06877875328064,2
base_acc,base,False,False,True,False,12.260039329528809,12.260039329528809,20.858510971069336,2
base_pos_vel,base,True,True,False,False,2.73532772064209,2.73532772064209,2.8219480514526367,4
base_pos_acc,base,True,False,True,False,2.451894760131836,2.451894760131836,2.6197667121887207,4
base_pos_intent,base,True,False,False,True,3.2154252529144287,3.2154252529144287,3.82842755317688,3
base_vel_acc,base,False,True,True,False,2.351834297180176,2.351834297180176,2.4317080974578857,4
base_vel_intent,base,False,True,False,True,2.803929567337036,2.803929567337036,3.06877875328064,3
base_acc_intent,base,False,False,True,True,12.260039329528809,12.260039329528809,20.858510971069336,3
base_pos_vel_acc,base,True,True,True,False,2.343945264816284,2.343945264816284,2.391197681427002,6
base_pos_vel_intent,base,True,True,False,True,2.73532772064209,2.73532772064209,2.8219480514526367,5
base_pos_acc_intent,base,True,False,True,True,2.451894760131836,2.451894760131836,2.6197667121887207,5
base_vel_acc_intent,base,False,True,True,True,2.351834297180176,2.351834297180176,2.4317080974578857,5
base_pos_vel_acc_intent,base,True,True,True,True,2.343945264816284,2.343945264816284,2.391197681427002,7
vision_pos,vision,True,False,False,False,2.471554517745972,2.4287269115448,2.8717808723449707,2
vision_vel,vision,False,True,False,False,2.232763767242432,2.2213289737701416,2.881908416748047,2
vision_acc,vision,False,False,True,False,6.08070707321167,6.08070707321167,10.311627388000488,2
vision_pos_vel,vision,True,True,False,False,2.2820053100585938,2.266944169998169,2.6532135009765625,4
vision_pos_acc,vision,True,False,True,False,2.137298822402954,2.137298822402954,2.651742696762085,4
vision_pos_intent,vision,True,False,False,True,2.415005207061768,2.415005207061768,3.08879017829895,3
vision_vel_acc,vision,False,True,True,False,2.146014928817749,2.146014928817749,2.8090059757232666,4
vision_vel_intent,vision,False,True,False,True,2.2011444568634038,2.1972079277038574,2.7245192527771,3
vision_acc_intent,vision,False,False,True,True,5.697339057922363,5.697339057922363,8.467755317687988,3
vision_pos_vel_acc,vision,True,True,True,False,2.141826868057251,2.141826868057251,2.806480884552002,6
vision_pos_vel_intent,vision,True,True,False,True,2.349839448928833,2.2959086894989014,2.550566911697388,5
vision_pos_acc_intent,vision,True,False,True,True,2.249144554138184,2.240710496902466,1.8876384496688845,5
vision_vel_acc_intent,vision,False,True,True,True,2.2134323120117188,2.2134323120117188,2.0621039867401123,5
vision_pos_vel_acc_intent,vision,True,True,True,True,2.2055444717407227,2.2055444717407227,2.520606756210327,7
